Oznaczenia:
# - Numer startowy - Starting number
FN - Szermierka - Fencing
SW - Pływanie - Swimming
HR - Jazda konna - Horse riding
RN - Bieganie - Running
SH - Strzelanie - Shooting
PT - Punkty - Points

   #	FN	SW	HR	RN	SH	 PT
   6	38	66	40	20	26	4612
   9	22	44	41	37	42	4612
  30	46	42	31	13	30	4529
   3	42	43	27	39	39	4471
  26	32	42	32	25	26	4442
  11	19	30	43	20	54	4315
  27	35	27	34	 9	28	4311
  20	36	37	52	15	32	4297
  28	18	26	51	29	11	4239
  25	29	18	50	42	26	4231
  21	12	41	39	36	34	4216
   7	34	39	31	32	17	4187
  31	17	20	22	61	28	4146
   1	35	32	11	23	50	4134
  24	69	30	21	13	26	4128
  23	16	68	17	 9	19	4100
  29	10	16	31	57	39	4063
  10	47	22	24	31	24	4046
  17	25	40	25	55	12	4017
  16	41	20	12	21	50	4007
   8	10	35	50	34	22	3989
  15	26	31	39	40	18	3962
  13	43	17	21	35	37	3909
  18	33	30	11	14	27	3897
  14	38	24	17	27	42	3829
  19	33	17	16	59	 7	3809
   2	42	11	18	28	22	3779
   4	37	14	24	37	 5	3643
  32	 5	 8	44	35	 7	3382
   5	 6	14	34	36	21	   0
  12	37	30	54	22	38	   0
  22	16	51	19	32	32	   0
